scenario_id,agent_id,complexity,offload_choice,layer,battery_consumption,latency_ms,overload_prob,success,cpu_usage,bw_0,bw_1,bw_2
11,2,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
11,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
11,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
12,0,hard,0,Local,0.0675,15.0,0.44999999999999996,1.0,0.7,0.6,0.2,0.2
12,1,hard,1,Edge,0.0405,62.99999999999999,0.3,1.0,0.7,0.6,0.2,0.2
12,2,hard,1,Edge,0.0405,62.99999999999999,0.3,1.0,0.7,0.6,0.2,0.2
12,3,hard,2,Fog,0.054000000000000006,105.0,0.3,1.0,0.7,0.6,0.2,0.2
12,4,hard,2,Fog,0.054000000000000006,105.0,0.3,1.0,0.7,0.6,0.2,0.2
13,0,medium,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.6,0.2,0.2
13,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
13,2,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
13,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
13,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
14,0,medium,2,Fog,0.054000000000000006,70.0,0.15,1.0,0.7,0.6,0.2,0.2
14,1,medium,1,Edge,0.0405,42.0,0.15,1.0,0.7,0.6,0.2,0.2
14,2,medium,1,Edge,0.0405,42.0,0.15,1.0,0.7,0.6,0.2,0.2
14,3,medium,2,Fog,0.054000000000000006,70.0,0.15,1.0,0.7,0.6,0.2,0.2
14,4,medium,2,Fog,0.054000000000000006,70.0,0.15,1.0,0.7,0.6,0.2,0.2
15,0,easy,2,Fog,0.054000000000000006,49.0,0.05,1.0,0.7,0.6,0.2,0.2
15,1,easy,2,Fog,0.054000000000000006,49.0,0.05,1.0,0.7,0.6,0.2,0.2
15,2,easy,2,Fog,0.054000000000000006,49.0,0.05,1.0,0.7,0.6,0.2,0.2
15,3,easy,1,Edge,0.0405,29.4,0.05,1.0,0.7,0.6,0.2,0.2
15,4,easy,2,Fog,0.054000000000000006,49.0,0.05,1.0,0.7,0.6,0.2,0.2
16,0,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
16,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
16,2,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
16,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
16,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
17,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
17,1,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
17,2,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
17,3,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
17,4,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
18,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
18,1,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
18,2,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
18,3,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
18,4,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
19,0,hard,2,Fog,0.054000000000000006,120.0,0.3,1.0,0.7,0.4,0.4,0.2
19,1,hard,1,Edge,0.0405,72.0,0.3,1.0,0.7,0.4,0.4,0.2
19,2,hard,1,Edge,0.0405,72.0,0.3,1.0,0.7,0.4,0.4,0.2
19,3,hard,1,Edge,0.0405,72.0,0.3,1.0,0.7,0.4,0.4,0.2
19,4,hard,2,Fog,0.054000000000000006,120.0,0.3,1.0,0.7,0.4,0.4,0.2
20,0,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
20,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
20,2,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
20,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
20,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
21,0,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
21,1,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
21,2,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
21,3,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
21,4,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
22,0,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
22,1,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
22,2,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
22,3,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
22,4,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
23,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
23,1,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
23,2,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
23,3,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
23,4,hard,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.6,0.2,0.2
24,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
24,1,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
24,2,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
24,3,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
24,4,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
25,0,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
25,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
25,2,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
25,3,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
25,4,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
26,0,hard,2,Fog,0.054000000000000006,120.0,0.3,1.0,0.7,0.4,0.4,0.2
26,1,hard,1,Edge,0.0405,72.0,0.3,1.0,0.7,0.4,0.4,0.2
26,2,hard,2,Fog,0.054000000000000006,120.0,0.3,1.0,0.7,0.4,0.4,0.2
26,3,hard,1,Edge,0.0405,72.0,0.3,1.0,0.7,0.4,0.4,0.2
26,4,hard,2,Fog,0.054000000000000006,120.0,0.3,1.0,0.7,0.4,0.4,0.2
27,0,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
27,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
27,2,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
27,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
27,4,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
28,0,medium,0,Local,0.0675,10.0,0.22499999999999998,1.0,0.7,0.6,0.2,0.2
28,1,medium,1,Edge,0.0405,42.0,0.15,1.0,0.7,0.6,0.2,0.2
28,2,medium,1,Edge,0.0405,42.0,0.15,1.0,0.7,0.6,0.2,0.2
28,3,medium,2,Fog,0.054000000000000006,70.0,0.15,1.0,0.7,0.6,0.2,0.2
28,4,medium,1,Edge,0.0405,42.0,0.15,1.0,0.7,0.6,0.2,0.2
29,0,easy,2,Fog,0.054000000000000006,56.0,0.05,1.0,0.7,0.4,0.4,0.2
29,1,easy,2,Fog,0.054000000000000006,56.0,0.05,1.0,0.7,0.4,0.4,0.2
29,2,easy,2,Fog,0.054000000000000006,56.0,0.05,1.0,0.7,0.4,0.4,0.2
29,3,easy,1,Edge,0.0405,33.6,0.05,1.0,0.7,0.4,0.4,0.2
29,4,easy,1,Edge,0.0405,33.6,0.05,1.0,0.7,0.4,0.4,0.2
30,0,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
30,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
30,2,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
30,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
30,4,medium,0,Local,0.057499999999999996,10.0,0.22499999999999998,1.0,0.3,0.6,0.2,0.2
31,0,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
31,1,medium,1,Edge,0.0405,48.0,0.15,1.0,0.7,0.4,0.4,0.2
31,2,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
31,3,medium,1,Edge,0.0405,48.0,0.15,1.0,0.7,0.4,0.4,0.2
31,4,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
32,0,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
32,1,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
32,2,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
32,3,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
32,4,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
33,0,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
33,1,medium,1,Edge,0.0405,48.0,0.15,1.0,0.7,0.4,0.4,0.2
33,2,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
33,3,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
33,4,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
34,0,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
34,1,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
34,2,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
34,3,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
34,4,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
35,0,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
35,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
35,2,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
35,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
35,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
36,0,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
36,1,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
36,2,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
36,3,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
36,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
37,0,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
37,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
37,2,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
37,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
37,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
38,0,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
38,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
38,2,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
38,3,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
38,4,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
39,0,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
39,1,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
39,2,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
39,3,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
39,4,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
40,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
40,1,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
40,2,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
40,3,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
40,4,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
41,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
41,1,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
41,2,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
41,3,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
41,4,hard,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.6,0.2,0.2
42,0,medium,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.6,0.2,0.2
42,1,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
42,2,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
42,3,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
42,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
43,0,medium,3,Cloud,0.092,140.0,0.105,1.0,0.3,0.6,0.2,0.2
43,1,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
43,2,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
43,3,medium,1,Edge,0.034499999999999996,42.0,0.15,1.0,0.3,0.6,0.2,0.2
43,4,medium,2,Fog,0.046,70.0,0.15,1.0,0.3,0.6,0.2,0.2
44,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
44,1,hard,0,Local,0.057499999999999996,15.0,0.44999999999999996,1.0,0.3,0.6,0.2,0.2
44,2,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
44,3,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
44,4,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
45,0,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
45,1,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
45,2,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
45,3,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
45,4,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
46,0,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
46,1,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
46,2,easy,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.6,0.2,0.2
46,3,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
46,4,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
47,0,hard,2,Fog,0.054000000000000006,105.0,0.3,1.0,0.7,0.6,0.2,0.2
47,1,hard,2,Fog,0.054000000000000006,105.0,0.3,1.0,0.7,0.6,0.2,0.2
