episode,avg_reward,std_reward,min_reward,max_reward,timestamp
50,1325.8176173752524,19.602121729955364,1291.2309361207112,1347.9740125036394,2025-12-05 17:36:20
100,1341.7427609868298,11.572853735461742,1326.7294774587679,1361.7821332403198,2025-12-05 19:05:35
150,1334.6257211668717,8.003410469291673,1322.872320512252,1345.235918059054,2025-12-05 20:36:22
200,1316.8073940333074,14.229151614541442,1298.4243959802502,1338.906748485784,2025-12-05 22:07:02
250,1357.9356137525144,14.082098760127055,1334.448348828283,1371.4688739080532,2025-12-05 23:38:13
300,1376.9847744896608,9.685671116387304,1364.7047308895458,1387.7838734131103,2025-12-06 01:08:48
350,1369.2299963911435,13.980901736144167,1352.3069300820437,1384.2273268508272,2025-12-06 02:38:59
400,1356.7772906212274,13.424020238539603,1338.7920430691872,1370.419782950949,2025-12-06 04:09:12
450,1355.87558137589,6.726719670906011,1346.5284485837265,1365.9916012272954,2025-12-06 14:41:26
500,1357.0817782927124,5.58628275271979,1347.2890532142865,1364.227635060847,2025-12-06 16:11:59
