episode,reward,steps,actor_loss,critic_loss,total_steps,timestamp
1,1239.836315164115,100,0,0,100,2025-12-05 16:11:13
2,1197.7050511554294,100,0,0,200,2025-12-05 16:11:14
3,1241.811023687905,100,-3.6362472057342528,0.13634421080350875,300,2025-12-05 16:12:03
4,1323.2236307173227,100,-6.527102375030518,0.08419038653373719,400,2025-12-05 16:13:51
5,1294.8630999093614,100,-9.144342231750489,0.0576792842708528,500,2025-12-05 16:15:39
6,1335.535388266349,100,-11.727567672729492,0.3523419201374054,600,2025-12-05 16:17:26
7,1315.305216418373,100,-14.508377838134766,0.07881920784711838,700,2025-12-05 16:19:15
8,1319.977508008257,100,-16.979906845092774,0.09817036241292953,800,2025-12-05 16:21:04
9,1329.6511017792177,100,-19.669815444946288,1.2299808740615845,900,2025-12-05 16:22:50
10,1329.8182126633506,100,-22.3767951965332,0.1018829233944416,1000,2025-12-05 16:24:37
11,1300.2957329618212,100,-24.58156547546387,0.30838104486465456,1100,2025-12-05 16:26:25
12,1332.778404863684,100,-27.319994354248045,0.263351121544838,1200,2025-12-05 16:28:12
13,1362.1449489881536,100,-29.756563186645508,0.27271353304386137,1300,2025-12-05 16:29:58
14,1333.8257933184348,100,-32.16808242797852,0.37140451073646547,1400,2025-12-05 16:31:45
15,1314.5441415792523,100,-34.95442199707031,0.4735879451036453,1500,2025-12-05 16:33:32
16,1325.5812941768218,100,-37.3078369140625,0.4836345911026001,1600,2025-12-05 16:35:18
17,1329.0927726149214,100,-39.34850082397461,0.525380688905716,1700,2025-12-05 16:37:05
18,1330.5934576023535,100,-41.370731353759766,0.9594068229198456,1800,2025-12-05 16:38:52
19,1329.4369913840633,100,-43.86723327636719,1.4280173540115357,1900,2025-12-05 16:40:38
20,1342.324060970827,100,-46.98437271118164,0.7827660202980041,2000,2025-12-05 16:42:25
21,1313.0120157204599,100,-49.54161758422852,1.9193609267473222,2100,2025-12-05 16:44:12
22,1333.732992282977,100,-51.55657043457031,0.60781329870224,2200,2025-12-05 16:45:58
23,1346.920725590951,100,-53.938516998291014,0.734455680847168,2300,2025-12-05 16:47:44
24,1305.6462351797177,100,-56.29645614624023,11.580719757080079,2400,2025-12-05 16:49:31
25,1314.872088260219,100,-57.68731460571289,1.027558732032776,2500,2025-12-05 16:51:18
26,1314.3364511131138,100,-60.43426666259766,9.93598759174347,2600,2025-12-05 16:53:06
27,1343.8408304630802,100,-61.31683349609375,2.1697911977767945,2700,2025-12-05 16:54:55
28,1294.2221963115544,100,-64.8235855102539,2.0374816775321962,2800,2025-12-05 16:56:44
29,1337.9622231663293,100,-66.44123229980468,2.5183852434158327,2900,2025-12-05 16:58:32
30,1277.1944367792812,100,-69.10366668701172,3.0715909004211426,3000,2025-12-05 17:00:21
31,1305.4650861867656,100,-70.07412719726562,1.5210480451583863,3100,2025-12-05 17:02:09
32,1323.1884827932472,100,-73.12917022705078,2.3969205379486085,3200,2025-12-05 17:04:01
33,1317.2813802124747,100,-75.86754760742187,7.571004867553711,3300,2025-12-05 17:05:50
34,1337.4788785456178,100,-75.63741455078124,1.6206987380981446,3400,2025-12-05 17:07:39
35,1338.4260894462598,100,-79.0015625,4.255211138725281,3500,2025-12-05 17:09:27
36,1345.868825802026,100,-80.3935531616211,2.492810106277466,3600,2025-12-05 17:11:16
37,1350.6383346128023,100,-83.19983215332032,12.584740495681762,3700,2025-12-05 17:13:05
38,1299.1421315123819,100,-86.12928314208985,2.0058062791824343,3800,2025-12-05 17:14:53
39,1328.299684734908,100,-86.34533233642578,3.0119373559951783,3900,2025-12-05 17:16:40
40,1333.8626679891156,100,-91.13412322998047,3.498341608047485,4000,2025-12-05 17:18:27
41,1333.1678128150293,100,-89.31519470214843,5.875508832931518,4100,2025-12-05 17:20:14
42,1338.3194747735834,100,-93.26796417236328,7.490917158126831,4200,2025-12-05 17:22:01
43,1329.1567785621796,100,-93.2054214477539,14.184825897216797,4300,2025-12-05 17:23:48
44,1335.511163777672,100,-94.36494140625,3.0725595474243166,4400,2025-12-05 17:25:35
45,1357.0774130824125,100,-98.74626770019532,2.2184603452682494,4500,2025-12-05 17:27:22
46,1328.3329892053303,100,-99.35011444091796,5.939249801635742,4600,2025-12-05 17:29:09
47,1346.4396450768943,100,-99.7729507446289,4.350148987770081,4700,2025-12-05 17:30:56
48,1308.5380441937173,100,-104.05426483154297,2.6674786806106567,4800,2025-12-05 17:32:43
49,1296.4437529916772,100,-102.62146301269532,9.856797218322754,4900,2025-12-05 17:34:30
50,1335.5129010259739,100,-104.47567291259766,2.326348304748535,5000,2025-12-05 17:36:17
51,1300.535368541612,100,-107.47823486328124,4.428779554367066,5100,2025-12-05 17:38:07
52,1336.5882907178739,100,-107.55600280761719,7.838361358642578,5200,2025-12-05 17:39:54
53,1331.0593649622979,100,-110.45048828125,18.08542652130127,5300,2025-12-05 17:41:41
54,1333.2304058774193,100,-110.17730712890625,8.253505992889405,5400,2025-12-05 17:43:28
55,1306.4427786197355,100,-114.79335021972656,6.836490345001221,5500,2025-12-05 17:45:15
56,1327.8173617787118,100,-115.00381011962891,4.243391466140747,5600,2025-12-05 17:47:02
57,1299.9296927891153,100,-117.97072143554688,6.337551593780518,5700,2025-12-05 17:48:49
58,1312.2914183918003,100,-115.4455337524414,7.168706893920898,5800,2025-12-05 17:50:36
59,1318.2440432383573,100,-122.23732147216796,9.950541067123414,5900,2025-12-05 17:52:23
60,1295.6728903449884,100,-119.55984802246094,5.30949592590332,6000,2025-12-05 17:54:11
