Episode,Utility,Latency,Energy
0,1694681.8414515536,0.12305862196734581,6750.004394883705
1,1303177.784787066,0.09461998597247114,6750.004150660725
2,1514441.1003941149,0.07339518332901505,6750.0046388748415
3,644411.7400919431,0.04150860715054667,6750.003418086274
4,718026.0415773265,0.04664808196644817,6750.003418101343
5,1228017.524799312,0.03564674795229357,6750.004638763908
6,1739720.6976134002,0.0494492553774377,6750.005371221229
7,978074.1866436756,0.0486275546807541,6750.003906385362
8,1848760.4325478354,0.0857663125638536,6750.005127189312
9,946985.4339937704,0.056091423338536006,6750.003906407925
10,829933.8586067635,0.04534560535160075,6750.0039063767
11,1466120.920800823,0.09151134899282759,6750.004394790518
12,1305076.91359321,0.04540929295432874,6750.004638793102
13,1972124.220880558,0.07179909822095082,6750.004883005906
14,1133483.8694826944,0.056034278719521796,6750.00415054636
15,1173722.3081842249,0.028031425095723882,6750.004394600898
16,1543060.1398971237,0.05345201726542368,6750.00463881448
17,1412427.5709670323,0.08058415638471951,6750.004394757299
18,818687.6127306727,0.01458584282870382,6750.004394564466
19,775958.4318899767,0.039083546357019334,6750.003906358453
20,1648795.6134931727,0.08439408770903174,6750.004883047133
21,686265.5845408875,0.027104792001743438,6750.0039063235945
22,794877.3640688519,0.015395802947456317,6750.0039062861215
23,999446.94016444,0.07804965484035946,6750.003906474338
24,1368604.4467565443,0.05872800337213086,6750.004638832211
25,1951561.0654505566,0.08385784602808775,6750.005127182498
26,903406.9146634144,0.046284227259149185,6750.003906379243
27,1828609.3809274733,0.09351692012581476,6750.004883072967
28,489013.85345429415,0.028096704222682692,6750.003418047705
29,2079350.7371314531,0.20021543373362205,6750.004150972274
30,1340428.0159520519,0.06203443661925038,6750.004150562259
31,1428904.1226021424,0.06705960466774098,6750.0043947162285
32,2085582.4643019296,0.09442233192431308,6750.005371353465
33,1771900.1426698735,0.056557449493409545,6750.005371242303
34,1220094.730489678,0.04079960754025024,6750.00439463914
35,784199.3527131217,0.04148244651747721,6750.003662225221
36,1297496.1569529106,0.08949223987329706,6750.003906505373
37,2009419.4172084674,0.065146212473729,6750.005371265519
38,1288667.0275918324,0.06411555265518575,6750.004150569338
39,1269683.5255716217,0.08446225095732847,6750.0039064898065
40,686420.4705733272,0.019082118581963695,6750.003906298809
41,603051.0839874271,0.026896154890343856,6750.003418042643
42,1103086.88173523,0.05145108357537203,6750.004394673177
43,687449.1186429989,0.07197067462692427,6750.003418178498
44,1367687.9131169321,0.05302610135799718,6750.004394674941
45,1011373.2031405406,0.02679613759270709,6750.004394599009
46,711954.9484459703,0.015580593480857809,6750.00415042842
47,1478411.1082234578,0.06822466314029736,6750.004638860195
48,852756.5420755342,0.04001165586294982,6750.003906360399
49,847908.4502951648,0.013064594334693808,6750.004150418898
50,972265.538392141,0.06602805116015414,6750.003418157796
51,1131767.7641116872,0.0579078341460958,6750.0043946922415
52,2105515.0903184083,0.11007797636560357,6750.005371400297
53,1243698.3320602984,0.08245280442669643,6750.004150624819
54,973372.2722231564,0.0558927021775939,6750.003906407746
55,1820400.1547441508,0.05720353056299574,6750.0053712437075
56,1217803.3979964207,0.04968672112281642,6750.004394666067
57,1850587.3804400105,0.08632682742484447,6750.00512719091
58,2032621.9832889515,0.07814131239575735,6750.005371305308
59,1399912.9767005884,0.13145842781568792,6750.003662491573
60,1474586.6235471098,0.06696538314453718,6750.004394715557
61,1258525.4682926647,0.04471801012577964,6750.0046387911425
62,1065907.195977687,0.027567724243856853,6750.004394600708
63,1258608.6643577155,0.07254072828735372,6750.004394734706
64,2078432.4280490025,0.10615717219544422,6750.005127248465
65,1026968.3359650684,0.035901823057409916,6750.0041504862675
66,1528472.6261521776,0.08370486105577868,6750.004394766127
67,921043.595349958,0.04914629080416769,6750.003906387077
68,660977.2626634559,0.03490049114278724,6750.0036622067355
69,1451772.1222407145,0.06987922868800973,6750.004638864839
70,1406975.5614910964,0.027470042556226804,6750.004882876867
71,869388.6938142144,0.06800947833032168,6750.003418164547
72,991926.3524437404,0.03532265052695906,6750.004150484865
73,1810876.6815985981,0.08871114100766055,6750.004883058509
74,754771.8035192535,0.0370900374439268,6750.003906352688
75,980834.3535137959,0.04224092823699604,6750.00415050596
76,1825633.9990088185,0.11316081259761766,6750.0048831319655
77,1581549.1802824943,0.0720835014713037,6750.004883010934
78,1344980.5080803887,0.054469947295716754,6750.004394679398
79,710941.5353356097,0.050851730948580254,6750.003418114125
80,1224934.13932441,0.0677539651476835,6750.004150581002
81,1229586.2977654042,0.02077897741831607,6750.004882858993
82,1933732.1638869254,0.08993110321751692,6750.004883060539
83,1588300.6932775006,0.0693069727709609,6750.004638861681
84,1962660.6116614032,0.10358667256160026,6750.00537138243
85,2183819.364619439,0.10854192238759514,6750.005371394807
86,1137614.4597371228,0.06351614896130453,6750.003906428625
87,1326970.518419035,0.05774745179491484,6750.004638829772
88,1709289.1435454737,0.11559038867685117,6750.004639000112
89,1456309.238614534,0.02391093184581523,6750.005371146668
90,930938.0799106482,0.05789419486276931,6750.003906413895
91,900944.0346068782,0.019757195955853752,6750.004394579104
92,521228.4624611589,0.024009488082088432,6750.003418034814
93,1595110.2503005632,0.08272572366429055,6750.004638902408
94,1397380.1606378579,0.04032946445208571,6750.004882916192
95,1915171.3945978035,0.0867127720900736,6750.005127191971
96,1556214.0636124546,0.09173289256052726,6750.004394790346
97,681771.1390137965,0.012275988229236048,6750.004150418772
98,837068.34486742,0.014881524313762022,6750.0041504246
99,795519.3907354148,0.03833376771338122,6750.003906356052
100,694201.4164815632,0.03259252656229382,6750.0036621992
101,653717.0327626275,0.02462066719289306,6750.003906315986
102,986062.0151069299,0.08925192788672198,6750.003662367875
103,1822907.5073390966,0.07860020717541633,6750.004883028043
104,1114790.995768683,0.06609060833018308,6750.003906436208
105,1466736.9631675428,0.052053144352019166,6750.004394670719
106,693828.9892433453,0.03497471961613509,6750.003906347032
107,654852.9482593966,0.012653769588210411,6750.003906279602
108,1447831.0111982732,0.07438023427542036,6750.004394738066
109,704035.2506529259,0.02725377989603989,6750.003662182913
110,1683604.5659661025,0.08425781293269545,6750.004883046422
111,1067034.0801253347,0.035421754806583244,6750.004394624697
112,1386852.277127796,0.06554953750908941,6750.004394712418
113,1106934.2324714158,0.030707600505582647,6750.004394609961
114,1975851.3018512398,0.08159277149885623,6750.0053713160905
115,399206.2658563528,0.016792243948674734,6750.003418014374
116,973474.0770683401,0.07468842538849384,6750.003662323592
117,784103.1721201068,0.08686233139305265,6750.003174082741
118,1922224.1372614596,0.08840668596020292,6750.005127196871
119,393647.337823181,0.014020570653715385,6750.003418006325
120,1519380.6160888986,0.09060238519960918,6750.00439478696
121,1216121.4469764829,0.08224930964337983,6750.003906483853
122,1028959.6233196324,0.11579351314753379,6750.003174167048
123,626764.891897645,0.044043443466398324,6750.003418094632
124,1124725.8029203566,0.030695937152384185,6750.004394609779
125,1107539.3694072173,0.09942812592507129,6750.003418256776
126,1038152.6183709549,0.08193646973254731,6750.003906485326
127,613353.2942887439,0.05184192297014031,6750.00341811848
128,1304966.9038302952,0.04876989202659996,6750.004638803108
129,1473907.2585991363,0.1036971914284598,6750.004150686769
130,519153.70234016055,0.023472627396208017,6750.0034180332905
