episode,stage,avg_reward,agent_0_reward,agent_1_reward,actor_loss,critic_loss,reward_ma,reward_std
29,easy,-18.12362919711921,-18.12362919711921,-18.12362919711921,1.9418258666992188,0.022895876318216324,,
30,easy,-20.55047831404357,-20.55047831404357,-20.55047831404357,1.9602854251861572,0.06441033817827702,,
31,easy,-16.690378036331403,-16.690378036331403,-16.690378036331403,1.9977360963821411,0.07864602282643318,,
32,easy,-21.052513692650336,-21.052513692650336,-21.052513692650336,1.897365689277649,0.048211295157670975,,
33,easy,-13.49757324073942,-13.49757324073942,-13.49757324073942,2.078986406326294,0.03899398632347584,,
34,easy,-28.86494412167041,-28.86494412167041,-28.86494412167041,2.028548240661621,0.10158174112439156,,
35,easy,-15.633906336944593,-15.633906336944593,-15.633906336944593,2.114829897880554,0.029215729795396328,,
36,easy,-9.76263875205315,-9.76263875205315,-9.76263875205315,2.0799477100372314,0.07317312061786652,,
37,easy,-20.25391639296533,-20.25391639296533,-20.25391639296533,2.200830340385437,0.07839024439454079,,
38,easy,-36.20379718066823,-36.20379718066823,-36.20379718066823,2.044712781906128,0.062330180779099464,,
39,easy,-11.342323586736743,-11.342323586736743,-11.342323586736743,2.3086507320404053,0.019840807653963566,,
40,easy,-13.38723482194865,-13.38723482194865,-13.38723482194865,2.288421869277954,0.04457819648087025,,
41,easy,-16.52383850817756,-16.52383850817756,-16.52383850817756,2.2074193954467773,0.1298404037952423,,
42,easy,-21.27760836125996,-21.27760836125996,-21.27760836125996,2.3773211240768433,0.07680083438754082,,
43,easy,-24.140570151301613,-24.140570151301613,-24.140570151301613,2.3685710430145264,0.04582322761416435,,
44,easy,-16.058300973244297,-16.058300973244297,-16.058300973244297,2.359476327896118,0.07514757290482521,,
45,easy,-29.381782740851616,-29.381782740851616,-29.381782740851616,2.2755656242370605,0.04744004085659981,,
46,easy,-26.991005081119027,-26.991005081119027,-26.991005081119027,2.3624731302261353,0.0923580527305603,,
47,easy,-28.099511804483907,-28.099511804483907,-28.099511804483907,2.547925114631653,0.04829450324177742,,
48,easy,-15.658789420357337,-15.658789420357337,-15.658789420357337,2.4722965955734253,0.04855557344853878,,
49,easy,-16.611251039590698,-16.611251039590698,-16.611251039590698,2.425873041152954,0.039599061012268066,,
50,easy,-12.15408999865796,-12.15408999865796,-12.15408999865796,2.4512746334075928,0.03178875334560871,-19.61756773818731,6.426672371727823
51,easy,-40.73594593418406,-40.73594593418406,-40.73594593418406,2.52304744720459,0.03444594703614712,-20.078875979861674,7.0787962525639205
52,easy,-17.614968889412808,-17.614968889412808,-17.614968889412808,2.4897964000701904,0.041953034698963165,-20.13663597701139,7.045941923949533
53,easy,-36.43575653046602,-36.43575653046602,-36.43575653046602,2.5320141315460205,0.07265672832727432,-20.3599118859684,7.3809140832168065
54,easy,-20.46578706955922,-20.46578706955922,-20.46578706955922,2.550276041030884,0.0412833746522665,-20.539356289586056,7.269177119490365
55,easy,-10.121597571517876,-10.121597571517876,-10.121597571517876,2.6453773975372314,0.04652394540607929,-20.32473621626685,7.416658510006471
56,easy,-26.93243158385149,-26.93243158385149,-26.93243158385149,2.902997612953186,0.045070428401231766,-20.327719085682027,7.4193385615301795
57,easy,-18.54853328271429,-18.54853328271429,-18.54853328271429,2.8241320848464966,0.1233564130961895,-20.465810226178515,7.317978008215967
58,easy,-11.906586206260759,-11.906586206260759,-11.906586206260759,2.742071747779846,0.09819159656763077,-20.15760556160927,7.3479995711624255
59,easy,-24.429538630451976,-24.429538630451976,-24.429538630451976,2.8031373023986816,0.15432798117399216,-20.29087318195936,7.364149455735662
60,easy,-20.518645992860748,-20.518645992860748,-20.518645992860748,2.787853240966797,0.13011445850133896,-20.353374904248966,7.352309502384771
61,easy,-19.157898044615543,-19.157898044615543,-19.157898044615543,2.824046492576599,0.10981428250670433,-20.145823205126685,7.233327721437433
62,easy,-11.062230173593424,-11.062230173593424,-11.062230173593424,2.890572190284729,0.09830435737967491,-20.063066109260575,7.314284828621164
63,easy,-23.762922648447145,-23.762922648447145,-23.762922648447145,2.876004219055176,0.14302535727620125,-20.157652066141353,7.331259920402024
64,easy,-49.358499434759246,-49.358499434759246,-49.358499434759246,2.7960071563720703,0.14125337824225426,-20.647934756857666,8.393786067780367
65,easy,-17.67770847902445,-17.67770847902445,-17.67770847902445,2.949699640274048,0.03269772790372372,-20.679407475501254,8.379338799092096
66,easy,-37.74959208162334,-37.74959208162334,-37.74959208162334,2.8186439275741577,0.14546037465333939,-21.06480315423165,8.71262172708234
67,easy,-14.857393262104573,-14.857393262104573,-14.857393262104573,3.0356361865997314,0.08930289372801781,-20.985008483539737,8.751529989000893
68,easy,-14.250059339728766,-14.250059339728766,-14.250059339728766,3.0035018920898438,0.041826989501714706,-20.8237320448006,8.80070464810475
69,easy,-17.89078176896181,-17.89078176896181,-17.89078176896181,3.1543344259262085,0.037949543446302414,-20.408889135499837,8.42493595314981
70,easy,-26.76448703576366,-26.76448703576366,-26.76448703576366,3.1285879611968994,0.08289049565792084,-20.513124093579055,8.471488472988224
71,easy,-13.757300515163186,-13.757300515163186,-13.757300515163186,3.2667895555496216,0.10199862718582153,-20.472562984472336,8.499395934200763
72,easy,-15.23815243796172,-15.23815243796172,-15.23815243796172,3.121721625328064,0.06178622134029865,-20.327401178162994,8.526066882227608
73,easy,-22.428138225877333,-22.428138225877333,-22.428138225877333,2.959196448326111,0.17489375174045563,-20.510937940526233,8.469217502536443
74,easy,-35.49536858179352,-35.49536858179352,-35.49536858179352,2.8731164932250977,0.08685576170682907,-20.96523249554523,8.653312567628985
75,easy,-31.88789073561749,-31.88789073561749,-31.88789073561749,3.138998866081238,0.09809013083577156,-21.307379920349106,8.741540104326345
76,easy,-19.294607011902993,-19.294607011902993,-19.294607011902993,3.1267985105514526,0.2302359938621521,-21.230821709717848,8.742081103036252
77,easy,-16.150919768176596,-16.150919768176596,-16.150919768176596,2.9566268920898438,0.045056264847517014,-21.179200580124693,8.764728777522928
78,easy,-20.138357068744398,-20.138357068744398,-20.138357068744398,3.2447304725646973,0.05957610718905926,-21.337843601161072,8.670279283700802
79,easy,-23.715161978977015,-23.715161978977015,-23.715161978977015,3.2038158178329468,0.15077733248472214,-21.449674256798225,8.664033754042892
80,easy,-23.857779232030936,-23.857779232030936,-23.857779232030936,3.2057833671569824,0.09903944656252861,-21.515820275157974,8.669651753839265
81,easy,-15.311222777372183,-15.311222777372183,-15.311222777372183,3.0809009075164795,0.040526825934648514,-21.488237169978788,8.687493134379054
82,easy,-13.689820951509855,-13.689820951509855,-13.689820951509855,2.908509373664856,0.0635973047465086,-21.340983315155977,8.757149343640165
83,easy,-13.32851651204717,-13.32851651204717,-13.32851651204717,3.4303430318832397,0.1650642529129982,-21.337602180582135,8.760271566224374
84,easy,-9.299002817673996,-9.299002817673996,-9.299002817673996,3.532426953315735,0.06577342003583908,-20.946283354502203,8.853669842738084
85,easy,-16.615527395983015,-16.615527395983015,-16.615527395983015,3.227184295654297,0.09935197234153748,-20.96591577568297,8.84273117902874
86,easy,-16.12154975853797,-16.12154975853797,-16.12154975853797,3.2459568977355957,0.12418107315897942,-21.09309399581267,8.723234973310626
87,easy,-17.42266626494603,-17.42266626494603,-17.42266626494603,3.276898503303528,0.11763689666986465,-21.036468993252285,8.737970264373313
88,easy,-13.624281045792115,-13.624281045792115,-13.624281045792115,3.335428476333618,0.32951007783412933,-20.58487867055476,8.518826794234876
89,easy,-17.97910797742941,-17.97910797742941,-17.97910797742941,3.389702081680298,0.13954488933086395,-20.717614358368614,8.42304221284043
90,easy,-15.349120904247433,-15.349120904247433,-15.349120904247433,3.1430130004882812,0.20027045905590057,-20.756852080014593,8.392712635502786
91,easy,-38.649283443320556,-38.649283443320556,-38.649283443320556,3.51693058013916,0.13126417994499207,-21.19936097871745,8.741028793001492
92,easy,-33.172714815987696,-33.172714815987696,-33.172714815987696,3.5760200023651123,0.08792649954557419,-21.437263107812004,8.903563654746693
93,easy,-24.405893650101536,-24.405893650101536,-24.405893650101536,3.4264267683029175,0.09772518277168274,-21.442569577788003,8.905286588962532
94,easy,-13.7194439254765,-13.7194439254765,-13.7194439254765,3.3454580307006836,0.1859392300248146,-21.39579243683265,8.940220114096128
95,easy,-39.36663686221686,-39.36663686221686,-39.36663686221686,3.4809166193008423,0.3227477967739105,-21.595489519259953,9.2290916601764
96,easy,-18.513718988727152,-18.513718988727152,-18.513718988727152,3.338496685028076,0.24763785302639008,-21.425943797412113,9.20578671666071
97,easy,-34.24955432739958,-34.24955432739958,-34.24955432739958,3.6872252225875854,0.08331521227955818,-21.54894464787043,9.336925772501367
98,easy,-33.844104787391586,-33.844104787391586,-33.844104787391586,3.385009288787842,0.1962575912475586,-21.912650955211117,9.456229866947679
99,easy,-34.77477127264183,-34.77477127264183,-34.77477127264183,3.4461196660995483,0.6966799199581146,-22.275921359872136,9.596262995201602
100,easy,-26.488219580451524,-26.488219580451524,-26.488219580451524,3.622061610221863,0.5081453323364258,-22.56260395150801,9.501350656893836
101,easy,-16.8492489967518,-16.8492489967518,-16.8492489967518,3.4469149112701416,0.13035212084650993,-22.08487001275936,9.163445714944183
102,easy,-20.934310422157857,-20.934310422157857,-20.934310422157857,3.3729442358016968,0.11847798153758049,-22.151256843414263,9.142401263099371
103,easy,-14.777736823105377,-14.777736823105377,-14.777736823105377,3.4879904985427856,0.17020482569932938,-21.71809644926705,8.963112628705513
104,easy,-17.732364580382256,-17.732364580382256,-17.732364580382256,3.006789445877075,0.1115681491792202,-21.66342799948351,8.97922813773625
105,easy,-12.027852711030823,-12.027852711030823,-12.027852711030823,3.8559287786483765,0.09611469134688377,-21.70155310227377,8.933150991105528
106,easy,-28.669128800667945,-28.669128800667945,-28.669128800667945,3.3429219722747803,0.22807767987251282,-21.7362870466101,8.957248625422414
107,easy,-25.39300292239396,-25.39300292239396,-25.39300292239396,3.501174569129944,0.10713391378521919,-21.873176439403696,8.95983749122394
108,easy,-17.990673487474396,-17.990673487474396,-17.990673487474396,3.561233162879944,0.11742620915174484,-21.994858185027965,8.8625056247913
109,easy,-30.944964477988762,-30.944964477988762,-30.944964477988762,3.4984652996063232,0.3601711094379425,-22.1251667019787,8.94653508328713
110,easy,-23.956713491434638,-23.956713491434638,-23.956713491434638,3.2903506755828857,0.2643801420927048,-22.193928051950184,8.947147827966198
111,easy,-18.959967020393275,-18.959967020393275,-18.959967020393275,3.513402819633484,0.27947624027729034,-22.189969431465734,8.94856219294921
112,easy,-14.472188139236165,-14.472188139236165,-14.472188139236165,3.913243889808655,0.48700326681137085,-22.25816859077859,8.874713575774605
113,easy,-16.206196499939054,-16.206196499939054,-16.206196499939054,3.6178908348083496,0.07540100067853928,-22.107034067808428,8.912827846404378
114,easy,-16.30510242540067,-16.30510242540067,-16.30510242540067,3.8179045915603638,0.15661252290010452,-21.445966127621254,8.032657851523307
115,easy,-30.457828853144054,-30.457828853144054,-30.457828853144054,3.789552092552185,0.07914526015520096,-21.701568535103647,8.113233445809925
116,easy,-20.342499449271152,-20.342499449271152,-20.342499449271152,3.6544013023376465,0.10667065158486366,-21.3534266824566,7.777060934170729
117,easy,-15.55328481603123,-15.55328481603123,-15.55328481603123,3.372627377510071,0.13499557599425316,-21.367344513535137,7.765812929163851
118,easy,-16.64697213454452,-16.64697213454452,-16.64697213454452,3.7635586261749268,0.1270856000483036,-21.41528276943145,7.728288792587161
119,easy,-22.087258055006714,-22.087258055006714,-22.087258055006714,3.747386932373047,0.14310601353645325,-21.49921229515235,7.712001210196463
120,easy,-13.438007049988997,-13.438007049988997,-13.438007049988997,3.53326416015625,0.2196035385131836,-21.232682695436857,7.756473505943565
121,easy,-50.8825278235914,-50.8825278235914,-50.8825278235914,3.4447258710861206,0.14414538443088531,-21.97518724160542,8.740764815576945
122,easy,-21.023245926242822,-21.023245926242822,-21.023245926242822,3.5267703533172607,0.10896154120564461,-22.090889111371045,8.687895304985645
123,easy,-12.593790660835813,-12.593790660835813,-12.593790660835813,3.5167590379714966,0.16287823766469955,-21.89420216007021,8.790815674423161
124,easy,-18.98447146490208,-18.98447146490208,-18.98447146490208,3.3833234310150146,0.24710847437381744,-21.563984217732383,8.576981750030447
125,easy,-20.856108508549593,-20.856108508549593,-20.856108508549593,3.752127170562744,0.1478264182806015,-21.343348573191022,8.446893184352197
126,easy,-27.322570624397265,-27.322570624397265,-27.322570624397265,4.005712866783142,0.08170043677091599,-21.503907845440914,8.483375109628236
127,easy,-10.045895363802785,-10.045895363802785,-10.045895363802785,3.688398838043213,0.11040456220507622,-21.381807357353438,8.605054460922675
128,easy,-24.222173041601113,-24.222173041601113,-24.222173041601113,3.836189389228821,0.11248243600130081,-21.46348367681057,8.612389164641904
129,easy,-14.015662604233043,-14.015662604233043,-14.015662604233043,3.6756943464279175,0.08901423588395119,-21.26949368931569,8.66968385228394
130,easy,-19.559107100389177,-19.559107100389177,-19.559107100389177,3.793348550796509,0.2985881268978119,-21.183520246682857,8.664805796921828
131,easy,-24.254270917866165,-24.254270917866165,-24.254270917866165,3.962268829345703,0.5198333859443665,-21.36238120949274,8.633359817680853
132,easy,-24.165888025056287,-24.165888025056287,-24.165888025056287,4.016036510467529,0.33166609704494476,-21.571902550963664,8.570245984207858
133,easy,-23.299475961174995,-23.299475961174995,-23.299475961174995,3.846004366874695,0.15414270758628845,-21.771321739946217,8.490149623830053
134,easy,-26.085184976151577,-26.085184976151577,-26.085184976151577,3.9090694189071655,0.22374466061592102,-22.107045383115768,8.317015444880576
135,easy,-15.737205944817129,-15.737205944817129,-15.737205944817129,4.167764782905579,0.42134417593479156,-22.089478954092456,8.329768604601444
136,easy,-19.218497508634893,-19.218497508634893,-19.218497508634893,3.9572110176086426,0.1311548426747322,-22.151417909094395,8.295931802572387
137,easy,-25.077725765044438,-25.077725765044438,-25.077725765044438,3.9340044260025024,0.09322315081954002,-22.30451909909636,8.277498298510567
138,easy,-18.733242552705633,-18.733242552705633,-18.733242552705633,3.86177659034729,0.12420826405286789,-22.406698329234633,8.199324735468494
139,easy,-19.84637892679148,-19.84637892679148,-19.84637892679148,3.878433585166931,0.15632792562246323,-22.44404374822187,8.182982995925602
140,easy,-25.47658012283273,-25.47658012283273,-25.47658012283273,4.0002806186676025,0.1611303761601448,-22.64659293259358,8.128943454913255
141,easy,-17.652489344332103,-17.652489344332103,-17.652489344332103,3.9998472929000854,0.12212621793150902,-22.22665705061381,7.821926302212763
142,easy,-29.013461507927634,-29.013461507927634,-29.013461507927634,3.877406597137451,0.4197160452604294,-22.143471984452606,7.72465251733172
143,easy,-29.212213899844258,-29.212213899844258,-29.212213899844258,3.675267219543457,0.11628634482622147,-22.239598389447462,7.783065231313012
144,easy,-20.32704178015645,-20.32704178015645,-20.32704178015645,3.809197425842285,0.40050993859767914,-22.371750346541063,7.690997585375629
145,easy,-28.69234326218555,-28.69234326218555,-28.69234326218555,3.6315940618515015,0.15312138944864273,-22.158264474540434,7.350226520599154
146,easy,-24.495653354751614,-24.495653354751614,-24.495653354751614,4.036712169647217,0.27672523260116577,-22.277903161860927,7.338368096276266
147,easy,-22.961920536238377,-22.961920536238377,-22.961920536238377,3.4845184087753296,0.212505541741848,-22.0521504860377,7.133322070214225
148,easy,-13.607200856485484,-13.607200856485484,-13.607200856485484,4.025969982147217,0.31669947504997253,-21.647412407419573,7.023875095495748
149,easy,-23.519905830283285,-23.519905830283285,-23.519905830283285,4.088613986968994,0.20228103548288345,-21.422315098572405,6.770360807041973
150,easy,-33.16355991197231,-33.16355991197231,-33.16355991197231,3.7370535135269165,0.14416927099227905,-21.555821905202823,6.9360838883376585
151,easy,-23.49693251027429,-23.49693251027429,-23.49693251027429,4.135228633880615,0.401970237493515,-21.688775575473272,6.907679804086502
152,easy,-21.78813904320203,-21.78813904320203,-21.78813904320203,3.918668508529663,0.12129224091768265,-21.705852147894156,6.906831945252871
153,easy,-17.637945693808426,-17.637945693808426,-17.637945693808426,3.657557964324951,0.22768534719944,-21.763056325308217,6.859965956880262
154,easy,-16.58335853106671,-16.58335853106671,-16.58335853106671,3.911999225616455,0.28281308710575104,-21.74007620432191,6.875650473936294
155,easy,-20.288812870251835,-20.288812870251835,-20.288812870251835,3.7111282348632812,0.13951919972896576,-21.90529540750633,6.735328595795086
156,easy,-26.162690924887443,-26.162690924887443,-26.162690924887443,3.9978909492492676,0.1211957186460495,-21.855166649990714,6.693155570687577
157,easy,-15.967892625278774,-15.967892625278774,-15.967892625278774,4.11862850189209,0.3852042406797409,-21.66666444404841,6.724134568466318
158,easy,-8.18009360976288,-8.18009360976288,-8.18009360976288,4.234523057937622,0.536189392209053,-21.470452846494183,6.972153113479058
159,easy,-18.058302552486644,-18.058302552486644,-18.058302552486644,4.256317377090454,0.2383837327361107,-21.21271960798414,6.851917816908765
160,easy,-15.320768370162162,-15.320768370162162,-15.320768370162162,3.905692458152771,0.1536024808883667,-21.040000705558686,6.890075836654444
161,easy,-17.54963584253113,-17.54963584253113,-17.54963584253113,3.885917067527771,0.17796434462070465,-21.011794082001447,6.901641970815279
162,easy,-18.789546809434,-18.789546809434,-18.789546809434,4.127400159835815,0.2462669461965561,-21.09814125540541,6.844928970739045
163,easy,-9.851060236278597,-9.851060236278597,-9.851060236278597,4.089803695678711,0.17097947746515274,-20.971038530132194,6.994980023501906
164,easy,-22.862365116829046,-22.862365116829046,-22.862365116829046,4.2474822998046875,0.16585150361061096,-21.102183783960765,6.967129431977409
165,easy,-19.45777285439575,-19.45777285439575,-19.45777285439575,4.112384080886841,0.1130395345389843,-20.882182663985795,6.838157798197768
166,easy,-17.89461172912132,-17.89461172912132,-17.89461172912132,4.120551586151123,0.30821943283081055,-20.8332249095828,6.850851549353059
167,easy,-19.569665479687412,-19.569665479687412,-19.569665479687412,3.9345611333847046,0.282215841114521,-20.91355252285592,6.811110924671905
168,easy,-28.18770415685249,-28.18770415685249,-28.18770415685249,4.390497446060181,0.14553988724946976,-21.144367163302082,6.85895240000815
169,easy,-10.600164695821837,-10.600164695821837,-10.600164695821837,3.77243709564209,0.19447117298841476,-20.914625296118384,7.017279357411908
170,easy,-12.176394283021898,-12.176394283021898,-12.176394283021898,4.000765800476074,0.1947021707892418,-20.88939304077904,7.046917544286131
171,easy,-22.581563292769797,-22.581563292769797,-22.581563292769797,3.895058512687683,0.11089205741882324,-20.323373750162613,5.5706038054670115
172,easy,-22.042880375011155,-22.042880375011155,-22.042880375011155,3.6182384490966797,0.17248748987913132,-20.34376643913798,5.575082684476177
173,easy,-30.3657898881171,-30.3657898881171,-30.3657898881171,4.015932083129883,0.21856842935085297,-20.699206423683606,5.637081583758452
174,easy,-20.980122349627443,-20.980122349627443,-20.980122349627443,4.0973286628723145,0.1172209233045578,-20.73911944137811,5.631755255518575
175,easy,-6.395556308487446,-6.395556308487446,-6.395556308487446,3.7416259050369263,0.16825271397829056,-20.44990839737687,5.985797239711174
176,easy,-14.231212423727682,-14.231212423727682,-14.231212423727682,3.8951196670532227,0.22996874153614044,-20.188081233363476,5.965324428775882
177,easy,-18.85658869575257,-18.85658869575257,-18.85658869575257,4.136090278625488,0.2617660164833069,-20.364295100002472,5.787082824585776
178,easy,-22.593601671616863,-22.593601671616863,-22.593601671616863,3.7281376123428345,0.10439388453960419,-20.331723672602788,5.769482688223807
179,easy,-19.572869525143982,-19.572869525143982,-19.572869525143982,4.091838598251343,0.1583370566368103,-20.442867811021006,5.69841577558166
180,easy,-13.50122969968131,-13.50122969968131,-13.50122969968131,3.8358263969421387,0.17503739148378372,-20.32171026300685,5.781385548785537
181,easy,-16.325386985011395,-16.325386985011395,-16.325386985011395,3.9451534748077393,0.27646493911743164,-20.163132584349754,5.7800585173778405
182,easy,-19.164697138059665,-19.164697138059665,-19.164697138059665,3.6617883443832397,0.16475600004196167,-20.06310876660982,5.752584744283204
183,easy,-13.278721212746492,-13.278721212746492,-13.278721212746492,4.105672836303711,0.10796938091516495,-19.86269367164125,5.811784056616293
184,easy,-7.588886264399422,-7.588886264399422,-7.588886264399422,3.8971142768859863,0.18397808074951172,-19.492767697406208,5.993448040051224
185,easy,-9.061416521726834,-9.061416521726834,-9.061416521726834,3.834470748901367,0.28411179780960083,-19.3592519089444,6.151102557573055
186,easy,-23.503484487546057,-23.503484487546057,-23.503484487546057,4.132703542709351,0.2182275950908661,-19.444951648522625,6.1788888450446695
187,easy,-23.05250440379118,-23.05250440379118,-23.05250440379118,3.813606858253479,0.1434083990752697,-19.40444722129756,6.147770398588852
188,easy,-15.902720322478249,-15.902720322478249,-15.902720322478249,4.155163764953613,0.19348669052124023,-19.347836776693015,6.167078991792415
189,easy,-21.44549665657247,-21.44549665657247,-21.44549665657247,3.7721166610717773,0.127626933157444,-19.37981913128863,6.173859954920071
190,easy,-21.695421564327685,-21.695421564327685,-21.695421564327685,3.5010826587677,0.22921250760555267,-19.30419596011853,6.120584818070082
191,easy,-13.804869402374543,-13.804869402374543,-13.804869402374543,3.9107409715652466,0.14193936437368393,-19.22724356127938,6.165795612968253
192,easy,-18.776931497725716,-18.776931497725716,-18.776931497725716,4.078741788864136,0.10961654037237167,-19.022512961075343,6.001992406992722
193,easy,-20.53436630267082,-20.53436630267082,-20.53436630267082,3.7273523807525635,0.14499493315815926,-18.84895600913187,5.824160313224571
194,easy,-25.958590315742118,-25.958590315742118,-25.958590315742118,4.049419641494751,0.2708469405770302,-18.961586979843588,5.907188978921546
195,easy,-16.204952832939455,-16.204952832939455,-16.204952832939455,4.0470908880233765,0.1762654334306717,-18.711839171258664,5.74925357284878
196,easy,-24.356756783630686,-24.356756783630686,-24.356756783630686,4.276281356811523,0.3115769177675247,-18.709061239836245,5.746434774207703
197,easy,-20.08741371548024,-20.08741371548024,-20.08741371548024,4.2354090213775635,0.17615974694490433,-18.651571103421084,5.717324023794487
198,easy,-19.85634238335093,-19.85634238335093,-19.85634238335093,3.967611789703369,0.16627933830022812,-18.776553933958393,5.672933720589986
199,easy,-14.183529491241245,-14.183529491241245,-14.183529491241245,3.757530093193054,0.22753162682056427,-18.58982640717755,5.667270517429011
200,easy,-34.86307926188129,-34.86307926188129,-34.86307926188129,3.7652047872543335,0.5068883895874023,-18.62381679417573,5.7607877218810835
201,easy,-20.573698316181904,-20.573698316181904,-20.573698316181904,3.712689518928528,0.24611322581768036,-18.565352110293883,5.725045154186996
202,easy,-17.099682386204968,-17.099682386204968,-17.099682386204968,3.811935305595398,0.1821756809949875,-18.471582977153943,5.709557255191557
203,easy,-21.959572855936308,-21.959572855936308,-21.959572855936308,3.8109688758850098,0.39949771761894226,-18.5580155203965,5.729356468320038
204,easy,-22.367457350741056,-22.367457350741056,-22.367457350741056,4.011653304100037,0.1800742894411087,-18.673697496789984,5.747038655997782
205,easy,-22.269095606749623,-22.269095606749623,-22.269095606749623,4.216284275054932,0.2398640140891075,-18.71330315151994,5.765191240377746
206,easy,-28.1347722286891,-28.1347722286891,-28.1347722286891,3.8774300813674927,0.3720759451389313,-18.752744777595975,5.823644610899652
207,easy,-36.6299668615111,-36.6299668615111,-36.6299668615111,3.829960346221924,0.22739211469888687,-19.165986262320622,6.332823841943724
208,easy,-10.872791057302088,-10.872791057302088,-10.872791057302088,3.9092795848846436,0.15670772641897202,-19.219840211271404,6.248380148920219
209,easy,-20.848307246601856,-20.848307246601856,-20.848307246601856,3.780734896659851,0.4357900619506836,-19.27564030515371,6.250253092694486
210,easy,-41.631784255236795,-41.631784255236795,-41.631784255236795,3.7433021068573,0.1833668276667595,-19.8018606228552,6.975947439962241
211,easy,-13.552051018336417,-13.552051018336417,-13.552051018336417,3.8175138235092163,0.1584857702255249,-19.72190892637131,7.02502274164925
212,easy,-12.474638041838018,-12.474638041838018,-12.474638041838018,4.084040641784668,0.2135554850101471,-19.59561075101939,7.098508547310271
213,easy,-14.420351588413157,-14.420351588413157,-14.420351588413157,3.8270658254623413,0.23142742365598679,-19.68699657806208,6.999215452262332
214,easy,-25.24795235625552,-25.24795235625552,-25.24795235625552,3.9555763006210327,0.21122583001852036,-19.734708322850608,7.029368819014158
215,easy,-12.609617232671583,-12.609617232671583,-12.609617232671583,3.867833375930786,0.1976320594549179,-19.597745210416125,7.101223750205957
216,easy,-28.028471430664005,-28.028471430664005,-28.028471430664005,4.138722896575928,0.1243429146707058,-19.80042240444698,7.19561110205753
217,easy,-29.32819359631226,-29.32819359631226,-29.32819359631226,4.341606378555298,0.29169589281082153,-19.995592966779476,7.320483890520002
218,easy,-28.256948754623664,-28.256948754623664,-28.256948754623664,4.070403575897217,0.23149294406175613,-19.996977858734898,7.32207168322965
219,easy,-11.473738448587982,-11.473738448587982,-11.473738448587982,3.8806124925613403,0.3967045098543167,-20.01444933379022,7.300201566668226
220,easy,-13.912564108247086,-13.912564108247086,-13.912564108247086,3.9540317058563232,0.49701154232025146,-20.04917273029473,7.266208922827698
