scenario_id,agent_id,complexity,offload_choice,layer,battery_consumption,latency_ms,overload_prob,success,cpu_usage,bw_0,bw_1,bw_2
12,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
13,0,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
13,1,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
13,2,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
13,3,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
13,4,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
14,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
14,1,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
14,2,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
14,3,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
14,4,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
15,0,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
15,1,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
15,2,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
15,3,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
15,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
16,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
16,1,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
16,2,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
16,3,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
16,4,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
17,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
17,1,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
17,2,medium,4,Reject,0.0105,0.0,0.0,0.0,0.1,0.33,0.33,0.34
17,3,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
17,4,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
18,0,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
18,1,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
18,2,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
18,3,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
18,4,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
19,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
19,1,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
19,2,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
19,3,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
19,4,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
20,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
20,1,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
20,2,hard,4,Reject,0.0105,0.0,0.0,0.0,0.1,0.33,0.33,0.34
20,3,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
20,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
21,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
21,1,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
21,2,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
21,3,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
21,4,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
22,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
22,1,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
22,2,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
22,3,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
22,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
23,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
23,1,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
23,2,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
23,3,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
23,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
24,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
24,1,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
24,2,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
24,3,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
24,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
25,0,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
25,1,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
25,2,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
25,3,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
25,4,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
